127.0.0.1 - - [30/Mar/2021:15:20:41 -0600] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:20:42 -0600] "GET /eventosComunitarios/ HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:20:42 -0600] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:20:45 -0600] "GET /eventosComunitarios/evento/all HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:20:57 -0600] "GET /eventosComunitarios/evento/bye/4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:20:57 -0600] "GET /eventosComunitarios/evento/all HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:21:35 -0600] "POST /eventosComunitarios/evento/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:21:35 -0600] "GET /eventosComunitarios/evento/all?tipoName=2&modalidadName=1 HTTP/1.1" 200 6142
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:21:47 -0600] "GET /eventosComunitarios/evento/one/7 HTTP/1.1" 200 6173
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:21:55 -0600] "POST /eventosComunitarios/evento/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:21:55 -0600] "GET /eventosComunitarios/evento/all?tipoName=1&modalidadName=1 HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:22:14 -0600] "GET /eventosComunitarios/evento/bye/5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:22:14 -0600] "GET /eventosComunitarios/evento/all HTTP/1.1" 200 5686
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:22:14 -0600] "GET /eventosComunitarios/evento/bye/7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:22:15 -0600] "GET /eventosComunitarios/evento/all HTTP/1.1" 200 5250
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:22:15 -0600] "GET /eventosComunitarios/evento/bye/6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2021:15:22:15 -0600] "GET /eventosComunitarios/evento/all HTTP/1.1" 200 4790
